Player|Position|College|NFL_Team|Years|Dollars|Guaranteed|2019_CAP
David Sills|WR|WR|West Virginia|BUF|$1,790,000|$35,000|$495,000
Iosua Opeta|G|G|Weber State|PHI|$1,780,000|$80,000|$495,000
Keelan Doss|WR|WR|California-Davis|OAK|$1,777,500|$52,500|$495,000
Zack Bailey|G|G|South Carolina|TB|$1,777,500|$45,000|$495,000
Jegs Jegede|DE|DE|Valdosta State|IND|$1,775,000|$20,000|$495,000
David Blough|QB|QB|Purdue|CLE|$1,775,000|$80,000|$495,000
Alexander Myres|CB|CB|Houston|PIT|$1,775,000|$20,000|$495,000
Ryan Pope|T|T|San Diego State|DET|$1,775,000|$165,000|$495,000
Alijah Holder|CB|CB|Stanford|DEN|$1,773,000|$30,000|$495,000
JoJo McIntosh|S|S|Washington|WAS|$1,771,000|$16,000|$495,000
Damion Willis|WR|WR|Troy|CIN|$1,770,000|$15,000|$495,000
Azeez Al-Shaair|LB|LB|Florida Atlantic|SF|$1,770,000|$65,000|$495,000
Hale Hentges|TE|TE|Alabama|IND|$1,770,000|$15,000|$495,000
Ashton Dulin|WR|WR|Malone|IND|$1,770,000|$15,000|$495,000
Wyatt Ray|DE|DE|Boston College|CLE|$1,770,000|$15,000|$495,000
Willie Wright|C|C|Tulsa|CLE|$1,770,000|$25,000|$495,000
Jarrell Owens|DE|DE|Oklahoma State|CLE|$1,770,000|$15,000|$495,000
Andrew Beck|TE|TE|Texas|NE|$1,770,000|$115,000|$495,000
Malik Henry|WR|WR|West Georgia|SF|$1,770,000|$90,000|$495,000
Alex Wesley|WR|WR|Northern Colorado|NYG|$1,770,000|$15,000|$495,000
Keisean Nixon|CB|CB|South Carolina|OAK|$1,770,000|$25,000|$495,000
Anree Saint-Amour|DE|DE|Georgia Tech|MIN|$1,770,000|$65,000|$495,000
Chidi Okeke|T|T|Tennessee State|WAS|$1,770,000|$25,000|$495,000
Steven Sims Jr.|WR|WR|Kansas|WAS|$1,770,000|$15,000|$495,000
Penny Hart|WR|WR|Georgia State|IND|$1,770,000|$15,000|$495,000
Tyree Jackson|QB|QB|Buffalo|BUF|$1,770,000|$75,000|$495,000
Dax Raymond|TE|TE|Utah State|CHI|$1,770,000|$45,000|$495,000
Carl Granderson|DE|DE|Wyoming|NO|$1,770,000|$85,000|$495,000
Josiah Tauaefa|LB|LB|Texas-San Antonio|NYG|$1,770,000|$110,000|$495,000
Malik Reed|OLB|OLB|Nevada|DEN|$1,770,000|$30,000|$495,000
Jake Browning|QB|QB|Washington|MIN|$1,770,000|$140,000|$495,000
Bryan Blunt|LB|LB|McNeese State|WAS|$1,770,000|$25,000|$495,000
Juwann Bushell-Beatty|T|T|Michigan|WAS|$1,770,000|$15,000|$495,000
Fred Johnson|G|G|Florida|PIT|$1,770,000|$15,000|$495,000
Nick Easley|WR|WR|Iowa|BUF|$1,768,000|$13,000|$495,000
Demetrius Flannigan-Fowles|S|S|Arizona|SF|$1,767,500|$62,500|$495,000
Chuck Harris|DE|DE|Buffalo|CHI|$1,767,499|$37,500|$495,000
Mike Onuoha|OLB|OLB|Texas A&M|BAL|$1,767,000|$12,000|$495,000
Kevin Givens|DT|DT|Penn State|SF|$1,767,000|$37,000|$495,000
Emanuel Hall|WR|WR|Missouri|CHI|$1,767,000|$42,000|$495,000
Walter Palmore|DT|DT|Missouri|HOU|$1,765,000|$40,000|$495,000
Jamell Garcia-Williams|DT|DT|Alabama-Birmingham|SF|$1,765,000|$90,000|$495,000
Otaro Alaka|ILB|ILB|Texas A&M|BAL|$1,765,000|$50,000|$495,000
Ryan Davis|WR|WR|Auburn|NE|$1,765,000|$70,000|$495,000
Deonte Harris|WR|WR|Assumption|NO|$1,765,000|$25,000|$495,000
Trinity Benson|WR|WR|East Central|DEN|$1,765,000|$10,000|$495,000
Taryn Christion|QB|QB|South Dakota State|SEA|$1,765,000|$10,000|$495,000
Paul Adams|T|T|Missouri|NYG|$1,765,000|$10,000|$495,000
Jeremiah Harris|LB|LB|Eastern Michigan|NYG|$1,765,000|$10,000|$495,000
Mathieu Betts|DE|DE|Laval|CHI|$1,765,000|$22,000|$495,000
Koa Farmer|OLB|OLB|Penn State|OAK|$1,765,000|$10,000|$495,000
Tyler Gauthier|C|C|Miami (FL)|NE|$1,765,000|$70,000|$495,000
Terry Wright|WR|WR|Purdue|SEA|$1,765,000|$10,000|$495,000
Davion Davis|WR|WR|Sam Houston State|MIN|$1,765,000|$10,000|$495,000
Khari Blasingame|FB|FB|Vanderbilt|MIN|$1,765,000|$30,000|$495,000
Antoine Wesley|WR|WR|Texas Tech|BAL|$1,765,000|$26,000|$495,000
Todd Rahming|WR|WR|Duke|WAS|$1,765,000|$10,000|$495,000
Derrek Thomas|CB|CB|Baylor|SEA|$1,765,000|$10,000|$495,000
C.J. Conrad|TE|TE|Kentucky|NYG|$1,765,000|$10,000|$495,000
Malik Gant|S|S|Marshall|NE|$1,765,000|$85,000|$495,000
